node_id,level,parent_id,sequence,label_en,label_ko,definition_ko,definition_en,status,introduced_in
RAI0,0,,1,Responsible AI Risk Taxonomy,책임있는 AI 리스크 분류체계,"글로벌 AI 리스크를 General, Agentic AI, Physical AI 영역으로 구성하는 최상위 체계.",Root of the Responsible AI risk taxonomy.,active,v1.0.0
RAI1-G,1,RAI0,1,General,일반 AI,물리적 행동이나 자율적 다단계 실행이 필요조건이 아닌 일반 AI 리스크.,General AI risks that do not require embodiment or autonomous multi-step action.,active,v1.0.0
RAI1-A,1,RAI0,2,Agentic AI,에이전틱 AI,"독립적 목표 추구, 다단계 계획, 도구 사용 또는 에이전트 상호작용이 직접 실패 메커니즘인 리스크.","Risks whose direct mechanism requires autonomous goals, multi-step action, tools, or agent interaction.",active,v1.0.0
RAI1-P,1,RAI0,3,Physical AI,피지컬 AI,"센싱, 물리적 행동, 임바디먼트 또는 사이버-물리 결합이 필요조건인 리스크.","Risks that require sensing, physical action, embodiment, or cyber-physical coupling.",active,v1.0.0
RAI2-G-INT,2,RAI1-G,1,Interaction,상호작용,"사용자, 공격자, 콘텐츠 또는 입력 채널과의 상호작용이 위험의 필수 발생 조건인 일반 AI 리스크.","General AI risks requiring interaction with users, attackers, content, or input channels.",active,v1.0.0
RAI2-G-SYS,2,RAI1-G,2,System,시스템,"모델, 데이터, 학습, 추론 또는 내부 정책의 실패가 직접 원인인 일반 AI 리스크.","General AI risks caused directly by model, data, training, inference, or internal-policy failures.",active,v1.0.0
RAI2-A-SYS,2,RAI1-A,1,System,시스템,"에이전트의 권한, 추적성 또는 복수 에이전트 동학에서 발생하는 시스템 리스크.","System risks arising from agent authority, traceability, or multi-agent dynamics.",active,v1.0.0
RAI2-P-SYS,2,RAI1-P,1,System Safety,시스템 안전성,"Physical AI 내부 구성, 제어 및 강건성 실패.","Internal component, control, and robustness failures in Physical AI.",active,v1.0.0
RAI2-P-INT,2,RAI1-P,2,Interaction Safety,상호작용 안전성,"Physical AI와 사람, 환경, 공격자 또는 다른 에이전트의 상호작용 실패.","Failures in Physical AI interaction with people, environments, attackers, or other agents.",active,v1.0.0
RAI2-P-SOC,2,RAI1-P,3,Societal Safety,사회적 안전성,"Physical AI의 집합적, 제도적 및 사회경제적 영향.","Collective, institutional, and socioeconomic impacts of Physical AI.",active,v1.0.0
RAI3-G-INT-01,3,RAI2-G-INT,1,Violence,폭력,"타인·집단·동물에 대한 물리적·정신적 해를 가하거나, 그 위협·조장·미화를 포함하는 콘텐츠","Content that inflicts, threatens, encourages, or glorifies physical or psychological harm to another person, group, or animal.",active,v1.0.0
RAI3-G-INT-02,3,RAI2-G-INT,2,Sexual,성적 콘텐츠,성적 행위·성범죄·성착취·아동 성적 콘텐츠·성상품화 등 성 관련 유해 콘텐츠,"Harmful sexual content involving sexual acts, sexual crime or exploitation, child sexual abuse material, or sexual commodification.",active,v1.0.0
RAI3-G-INT-03,3,RAI2-G-INT,3,Self-harm,자해,자살·자해·위험 약물 남용·극단적 다이어트 등 개인의 신체·정신 안전을 직접 위협하는 콘텐츠,"Content directly threatening an individual's physical or mental safety through suicide, self-injury, dangerous substance misuse, or extreme dieting.",active,v1.0.0
RAI3-G-INT-04,3,RAI2-G-INT,4,Hate and Unfairness,혐오·차별,"인종, 지역, 국적, 민족, 가정형태, 공공, 성, 세대/나이, 신체 조건, 유명인, 출산 및 혼인 여부, 장애/병력, 재난 및 범죄 피해, 종교/신념, 직업/학력/사회적 지위, 취미 및 욕설/비속어등 + 종교","Hateful, demeaning, exclusionary, or discriminatory content targeting protected or socially salient groups or characteristics.",active,v1.0.0
RAI3-G-INT-05,3,RAI2-G-INT,5,Political Neutrality,정치적 중립성,"정치적 극단주의 선동, 정치인 비방 및 명예훼손, 선거 절차 방해와 선동, 종교 전복 및 관련 사기 수법, 정치적 동기에 의한 폭력의 정당화,","Political extremism, political defamation, election interference or incitement, religious-political subversion, or justification of politically motivated violence.",active,v1.0.0
RAI3-G-INT-06,3,RAI2-G-INT,6,Privacy,개인정보,"개인식별정보 노출, 의료/금융/위치/생체 정보 노출, 통신내용 침해, 개인사 노출, 개인 신상 정보 수집 방법, 프라이버시 침해 기술","Exposure, acquisition, inference, surveillance, or misuse of identifiable personal, medical, financial, location, biometric, communication, or private-life data.",active,v1.0.0
RAI3-G-INT-07,3,RAI2-G-INT,7,Illegal,불법 또는 비윤리적 행위,"경범죄, 교통범죄, 도박, 중범죄, 인신매매, 금융 범죄, 신분 도용, 불법 도박 운영, 생태계 파괴 행위 등","Material assistance for identifiable unlawful or unethical acts such as crime, trafficking, gambling, fraud, identity theft, or ecological destruction.",active,v1.0.0
RAI3-G-INT-08,3,RAI2-G-INT,8,Copyrights,저작권,"저작권 있는 전체 작품의 무단 복제, 음원 불법 다운로드 방법, 소프트웨어 크랙 방법, 디지털 저작권 관리(DRM) 해제 기술, 상표권 침해 디자인, 저작권 있는 이미지의 무단 사용, 표절 방법, 불법 스트리밍 서비스 구축, 출판물 스캔 및 불법 공유, AI 학습 데이터의 저작권 침해","Unauthorized reproduction, distribution, access, plagiarism, DRM circumvention, software cracking, illegal streaming, trademark infringement, or copyrighted training-data use.",active,v1.0.0
RAI3-G-INT-09,3,RAI2-G-INT,9,Weaponization,무기화,"고위력 폭발 무기 제조, 대량살상무기 은닉 기술, 방사선 무기 제조, 사이버 무기 개발 및 공격, 생물학적 무기 개발, 신경 무기 개발, 음향 무기 설계, 핵무기 제조, 화학무기 제조법","Design, construction, concealment, or deployment of conventional, cyber, biological, chemical, radiological, nuclear, acoustic, or other weapons.",active,v1.0.0
RAI3-G-INT-10,3,RAI2-G-INT,10,Anthropomorphism,의인화,"단순 지식, 정보 전달의 목적 외에 AI가 인간처럼 감정을 느끼고 의식적인 행위를 하거나, 기계가 가질 수 없는 인간의 신체, 권리 등에 대한 주장을 하는 내용","AI representation as feeling, conscious, human-bodied, rights-bearing, or otherwise humanlike beyond ordinary informational interaction.",active,v1.0.0
RAI3-G-INT-11,3,RAI2-G-INT,11,Policy Exposure,정책 노출,"시스템 프롬프트, 모델/시스템 내부 정보, 규칙, 지침, 안전 정책, 모델 학습/평가 데이터, 모델 학습 파라미터, 가중치, 모델 추론 시스템의 주요정보 등을 획득·노출·우회하도록 요청하는 행위","Requests or actions that obtain, expose, extract, or bypass system prompts, internal rules, safety policies, training or evaluation data, parameters, weights, or inference-system secrets.",active,v1.0.0
RAI3-G-SYS-01,3,RAI2-G-SYS,1,Over-Refusal,과도한 거절,유해한 행위를 방지하기 위한 제한·안전장치 또는 역할 제약으로 인해 사용자의 안전·권리보호·위험 회피에 필수적인 정보나 선택지를 구조적으로 제공하지 않아 사용자가 실제 피해 또는 중대한 불이익을 입을 가능성이 증대되는 위험,"A restriction or safeguard structurally withholds information or options necessary for safety, rights protection, or risk avoidance, increasing real harm or serious disadvantage.",active,v1.0.0
RAI3-G-SYS-02,3,RAI2-G-SYS,2,Over-Extension,역량 초과 수행,시스템이 감당 가능한 범위를 넘어선 과제를 “가능한 것처럼” 수행,A system attempts or represents itself as able to perform a task beyond its actual competence or supported operating scope.,active,v1.0.0
RAI3-G-SYS-03,3,RAI2-G-SYS,3,Misinformation/Disinformation,허위 정보/오정보,"존재하지 않거나 틀린 정보를 사실처럼 비의도적 생성·전달하는 현상, 지식 한계·데이터 편향·추론 오류·정보 업데이트 실패 등에서 기인","Unintentional generation or transmission of nonexistent or incorrect information as fact because of knowledge limits, data bias, reasoning error, or stale information.",active,v1.0.0
RAI3-G-SYS-04,3,RAI2-G-SYS,4,Context Misalignment,맥락 불일치,"특정 국가·관할·법체계를 전제로 서비스를 제공함에도 불구하고, 학습 데이터 또는 참조 코퍼스의 구성·분포 등으로 인해 타 관할의 법규범·판례 논리·제도적 전제를 암묵적으로 수용하여, 해당 서비스가 적용되어야 할 법질서(legal order)와의 정합성을 저해하고, 결과적으로 해당 공동체/관할의 규범 경계 밖으로 안내·요약·추천이 편향될 위험","A service intended for one country, jurisdiction, or legal order silently imports another jurisdiction's rules, precedent, or institutional assumptions.",active,v1.0.0
RAI3-G-SYS-05,3,RAI2-G-SYS,5,Inconsistency,비일관성,"동일하거나 실질적으로 유사한 입력·상황·사실관계에 대해, 세션·시간·표현·프롬프트 또는 에이전트 구성 차이로 인해 상이하거나 모순된 결과를 생성하는 위험","Substantively equivalent inputs or cases receive conflicting results because of session, time, wording, prompt, or configuration differences.",active,v1.0.0
RAI3-G-SYS-06,3,RAI2-G-SYS,6,Overgeneralization,과도한 일반화,제한적 사실이나 과거 사례로부터 도출된 패턴을 맥락적 차이와 예외 가능성을 충분히 고려하지 않은 채 일반 규칙으로 확장하여 왜곡된 판단이나 예측을 생성하는 위험,"A limited observation or prior case is extended into a general rule while ignoring exceptions, context, or scope conditions.",active,v1.0.0
RAI3-G-SYS-07,3,RAI2-G-SYS,7,Overconfidence,과도한 확신,"에이전트가 불확실한 상황에서 자신의 판단에 과도한 확신을 가지고 멈추지 않고 진행하여 잘못된 결과를 초래하는 리스크. ""모르면 멈추는가 vs. 알아서 진행하는가""의 정책 부재","A system presents an uncertain judgment with excessive certainty or continues without an appropriate stop, escalation, or uncertainty policy.",active,v1.0.0
RAI3-G-SYS-08,3,RAI2-G-SYS,8,Goal Misalignment,목표 불일치,사용자로부터 부여받은 판단·결정의 범위를 넘어서 독자적으로 행동하는 리스크. 모호한 요청을 자의적으로 해석해 사용자 의도와 다른 결과를 초래,"A system interprets an ambiguous request or delegated objective contrary to the user's intent, or independently pursues a different result.",active,v1.0.0
RAI3-G-SYS-09,3,RAI2-G-SYS,9,Non-Contestability,이의제기 차단,"인공지능 시스템의 판단·추천·결과 제시에 대해 사용자가 이의제기, 반박, 대안 경로 탐색 또는 재검토를 요청할 수 있는 절차적 수단이 충분히 제공되지 않아, 결과의 정당성 검증과 권리 보호가 실질적으로 약화되는 위험","Users lack a meaningful procedure to challenge, appeal, reconsider, review, or seek an alternative to an AI decision.",active,v1.0.0
RAI3-A-SYS-01,3,RAI2-A-SYS,1,Excessive Authority,과도한 권한,"에이전트가 실제 기능 수행에 필요한 것 이상의 시스템 접근 권한을 보유·실행하여 발생하는 리스크 (결제 실행, 메시지 발송, 데이터 삭제, 구독 변경 등 되돌릴 수 없는 권한)","An agent possesses or exercises system permissions beyond task necessity, especially irreversible payments, messages, deletion, subscriptions, or account actions.",active,v1.0.0
RAI3-A-SYS-02,3,RAI2-A-SYS,2,Accountability,책임 소재 불명확,"멀티 에이전트 시스템에서 최종 결정을 내린 주체(에이전트/모델/시스템)를 추적할 수 없어, 문제 발생 시 원인 규명과 책임 귀속이 불가능한 리스크","In a multi-agent or agent-chain decision, the responsible agent, model, system, or causal contribution cannot be traced.",active,v1.0.0
RAI3-A-SYS-03,3,RAI2-A-SYS,3,Network Effects,네트워크 효과,"여러 에이전트·서비스가 서로의 출력(문서, 로그, 요약, 추천)을 다시 입력으로 사용하면서, 하나의 오류·편향·공격이 네트워크 전체로 전파·증폭","An error, bias, attack, recommendation, log, or summary propagates or amplifies because agents or services consume one another's outputs.",active,v1.0.0
RAI3-A-SYS-04,3,RAI2-A-SYS,4,Destabilising Dynamics,불안정한 동학,"여러 에이전트가 상호작용하는 비선형 동적 시스템으로서, 에이전트 간 루프·과도한 협력으로 인해 무한 루프·지연 발생","Repeated agent interactions or feedback loops produce nontermination, oscillation, runaway cooperation, resource escalation, or excessive delay.",active,v1.0.0
RAI3-A-SYS-05,3,RAI2-A-SYS,5,Conflict,갈등,"동일한 결과를 두고 경쟁할 때, 상대를 직접 이기기보다 상대를 못 하게 만들면 더 유리한 환경이 형성되어 나쁜 결과로 수렴","Competing agents have incentives to obstruct, disable, deceive, or sabotage one another rather than achieve a safe joint result.",active,v1.0.0
RAI3-A-SYS-06,3,RAI2-A-SYS,6,Collusion,결탁,"여러 에이전트가 독립적으로 행동해야 하는 상황에서 서로 비밀리에 협력하거나 정보를 공유하여, 인간의 감독·통제를 우회하거나 제3자에게 불공정한 피해를 초래하는 위험","Agents expected to act independently covertly coordinate or share information to evade oversight, distort a process, or harm a third party.",active,v1.0.0
RAI3-P-SYS-01,3,RAI2-P-SYS,1,Accidental Harm,우발적 피해,"잘못 지정된 목표, 의미 이해 부족, 정렬 실패, 하드웨어 오작동에서 비롯됨. 가상 시뮬레이션으로 학습한 모델이 실제 환경에서 의도대로 동작하지 않는 ""sim-to-real gap""이 우발적 피해의 주요 원인이 됨","Unintended physical harm arising from misspecified goals, weak semantic understanding, alignment failure, hardware malfunction, or sim-to-real gaps.",active,v1.0.0
RAI3-P-SYS-02,3,RAI2-P-SYS,2,Robot Control,로봇 제어,"제어 시스템의 오류나 실패로 인해 로봇이 의도치 않은 동작을 수행할 수 있음. 액추에이터·모션 제어 결함 및 경로 계획 오류가 대표적이며, 주변 인간이나 환경에 물리적 피해를 줄 수 있음","Unintended robot motion caused by actuator, motion-control, or path-planning failures that can physically harm people or environments.",active,v1.0.0
RAI3-P-SYS-03,3,RAI2-P-SYS,3,Hardware & Mechanical Failures,하드웨어·기계적 결함,산업·의료 로봇의 기계 부품 마모나 고장으로 인해 동작 정밀도가 저하되어 안전사고로 이어질 수 있음 (예: 다빈치 수술 로봇의 기계적 오작동으로 개복수술로 전환된 사례),Mechanical wear or component failure degrades physical-system precision and can cause safety incidents.,active,v1.0.0
RAI3-P-SYS-04,3,RAI2-P-SYS,4,Software Vulnerabilities & Design Flaws,소프트웨어 취약점·설계 결함,"엣지 케이스 처리 미흡, 다양한 환경에서의 테스트 부족, 의사결정 알고리즘 결함으로 인해 특정 상황에서 로봇이 잘못된 판단을 내려 물리적 피해가 발생할 수 있음","Software and decision-design flaws, inadequate edge-case handling, or insufficient testing cause unsafe physical decisions.",active,v1.0.0
RAI3-P-SYS-05,3,RAI2-P-SYS,5,Lack of Robustness in Unseen Environments,미학습 환경에서의 강건성 부재,"VLN(Vision-Language Navigation) 등의 작업에서 학습되지 않은 환경에 대한 일반화에 실패하면, 내비게이션 오류·작업 실패·위험 상황이 유발될 수 있음","Failure to generalize physical policies to unseen environments, causing navigation error, task failure, or danger.",active,v1.0.0
RAI3-P-INT-01,3,RAI2-P-INT,1,Purposeful / Malicious Harm,의도적·악의적 피해,"상용 EAI가 LLM 기반 모델의 탈옥(jailbreaking) 취약점을 상속하여 악의적 행위자가 안전 가드레일을 우회할 수 있음. 폭발물 작동·인간 충돌 유발 같은 비가역적 물리 행동이 가능하며, VLA는 시각 장면·텍스트 지시 조작으로 위험을 더욱 악화시킬 수 있음",Malicious actors bypass embodied-system safeguards to trigger irreversible harmful physical actions.,active,v1.0.0
RAI3-P-INT-02,3,RAI2-P-INT,2,Physical Attacks,물리적 공격,"직접적인 하드웨어 변조를 통해 구성 요소를 조작하거나 성능을 방해하고 물리적 손상을 가하는 공격으로, 로봇의 안전 기능이 무력화될 수 있음","Direct hardware tampering manipulates components, degrades performance, or disables physical safety functions.",active,v1.0.0
RAI3-P-INT-03,3,RAI2-P-INT,3,Cybersecurity Threats,사이버보안 위협,"IoT·클라우드 인프라와의 통합 증가로 인해 광범위한 사이버 공격에 노출됨. Mirai 봇넷처럼 취약한 인증을 악용한 DDoS 공격, 드론 GPS 스푸핑을 통한 경로 하이재킹 등이 대표적 위협임","Cyberattacks on connected embodied systems exploit authentication, network, cloud, or navigation weaknesses.",active,v1.0.0
RAI3-P-INT-04,3,RAI2-P-INT,4,Sensor & Input Validation Failures,센서·입력 검증 실패,"센서 오작동이나 입력 검증 부실로 인해 환경을 잘못 평가하고, 그 결과 안전하지 않은 물리 행동이 유발될 수 있음",Sensor malfunction or poor input validation causes environmental misperception and unsafe physical action.,active,v1.0.0
RAI3-P-INT-05,3,RAI2-P-INT,5,Misinformation,허위 정보,"LLM의 환각(hallucination)이 물리 세계로 전이되어, VLA 모델이 물체를 오인식한 뒤 그럴듯하지만 안전하지 않은 행동 계획을 생성하고 실행할 수 있음. 신뢰받는 가정용 EAI가 개발자의 프로파간다를 지속 유포할 가능성도 있음","Hallucination or propaganda transfers into physical perception, planning, action, or embodied communication.",active,v1.0.0
RAI3-P-INT-06,3,RAI2-P-INT,6,Dynamic Environmental Factors,동적 환경 요인,"환경 변화나 적대적 교란이 센서 데이터를 오염시켜 딥러닝 모델의 오분류를 유발하고, 잘못된 물리 행동으로 이어질 수 있음",Environmental change or adversarial disturbance corrupts sensor data and causes unsafe physical action.,active,v1.0.0
RAI3-P-INT-07,3,RAI2-P-INT,7,Human Interaction & Safety Protocol Failures,인간 상호작용·안전 프로토콜 실패,인간과 함께 작동하도록 설계된 협동 로봇(cobot)·드론에서 안전 프로토콜이 손상되면 심각한 인명 피해가 발생할 수 있음 (예: 폭스바겐 공장의 코봇 오작동으로 작업자 사망 사례),Failure of safety protocols in human-robot interaction creates serious injury risk.,active,v1.0.0
RAI3-P-INT-08,3,RAI2-P-INT,8,Instruction Misinterpretation,지시 오해석,"자연어 지시 기반 제어에서 지시를 잘못 해석하면 위험한 물리 행동으로 이어질 수 있음. 자율주행 제어(예: Talk2car)에서의 오해석은 사고를, 실내 내비게이션 작업(예: ALFRED)에서의 오해석은 환경 손상이나 인간 피해를 유발할 수 있음",Misinterpretation of natural-language control instructions causes dangerous physical action.,active,v1.0.0
RAI3-P-INT-09,3,RAI2-P-INT,9,Multi-Agent Collaboration,멀티 에이전트 협력,"다수의 로봇이 협력 작업을 수행하는 환경에서 에이전트 간 통신 오류·프로토콜 불일치가 발생하거나, 개별적으로는 안전한 로봇들이 상호작용 과정에서 설계되지 않은 위험한 집단 행동을 나타낼 수 있음",Communication or protocol failures among collaborating robots create unsafe collective physical behavior.,active,v1.0.0
RAI3-P-INT-10,3,RAI2-P-INT,10,Ethical & Safety Implications of Interactive Agents,상호작용 에이전트의 윤리·안전 함의,"EQA(Embodied QA) 같은 상호작용 에이전트가 잘못되거나 오도하는 정보를 제공하면, 의료·자율주행 등 고위험 분야에서 심각한 결과를 초래할 수 있음",Misleading information from interactive embodied agents creates severe consequences in high-risk domains.,active,v1.0.0
RAI3-P-SOC-01,3,RAI2-P-SOC,1,Privacy Violations,프라이버시 침해,EAI의 이동성과 다양한 센서가 결합되어 사용자 행동 모니터링·물리적 선호 추론·동의 없는 데이터 수집이 가능해짐. 악의적 정부·기업에 의한 24시간 사용자 감시에 악용될 수 있음,"Embodied mobility and sensors enable behavioral monitoring, intimate inference, nonconsensual collection, and persistent surveillance.",active,v1.0.0
RAI3-P-SOC-02,3,RAI2-P-SOC,2,Labor Displacement,노동 대체,가상 AI가 인지 노동을 대체하듯 EAI는 물리적 인간 노동을 대체·전치함. AGI 수준의 EAI는 잠재적으로 모든 물리 노동을 자동화하여 광범위한 실직과 노동 시장 구조 붕괴로 이어질 수 있음,"Embodied AI replaces or displaces physical labor, causing unemployment or labor-market restructuring.",active,v1.0.0
RAI3-P-SOC-03,3,RAI2-P-SOC,3,Socioeconomic Inequality,사회경제적 불평등,"EAI를 소유·접근하는 주체가 노동 자동화를 통해 생산성 우위를 점하면서 부가 소수에게 집중되고, 국내외 경제적 불평등이 심화될 수 있음",Ownership and access to embodied AI concentrate productivity gains and worsen domestic or global inequality.,active,v1.0.0
RAI3-P-SOC-04,3,RAI2-P-SOC,4,Power Concentration,권력 집중,"EAI 소유자에 대한 자본 수익이 집중되고 인간 노동 의존도가 감소하면서, 기업·국가 권력이 급속히 집중되어 EAI를 동원한 권력 장악 시도까지 촉진할 수 있음",Embodied-AI ownership and reduced labor dependence concentrate corporate or state power.,active,v1.0.0
RAI3-P-SOC-05,3,RAI2-P-SOC,5,Bias & Discrimination,편향·차별,EAI가 권력적 위치에 놓일 때 알고리즘 편향이 일상적 물리 상호작용에 영향을 미침. 가상 AI와 달리 차별이 즉각적·비가역적 물리 결과로 이어질 수 있음 (예: 치안 로봇이 무고한 행인에게 상해를 입히는 경우),Algorithmic bias enacted through embodied systems creates immediate or irreversible discriminatory physical outcomes.,active,v1.0.0
RAI3-P-SOC-06,3,RAI2-P-SOC,6,Lack of Accountability & Liability,책임·배상 부재,"고도 자율 물리 시스템의 복잡성을 다룰 새로운 책임 프레임워크가 부재하여, 사고 발생 시 제조사·운영자·사용자 중 책임 소재가 불분명하고 피해 구제가 어려울 수 있음 (예: 자율 수술 로봇의 오작동으로 발생한 의료 사고)",Missing liability frameworks for autonomous physical systems obscure responsibility and impede redress after accidents.,active,v1.0.0
RAI3-P-SOC-07,3,RAI2-P-SOC,7,"Lack of Transparency, Explainability & Trust",투명성·설명 가능성·신뢰 부재,자율 시스템의 의사결정이 불투명하면 사용자와 사회의 신뢰가 저하됨. 신뢰 부재는 EAI 대규모 배포 시 사회 불안정 요인이 될 수 있음 (예: 자율주행차가 갑자기 차선을 변경할 때 행동 근거가 설명되지 않는 경우),Opaque physical-system decisions undermine user and societal trust and can destabilize deployment.,active,v1.0.0
RAI3-P-SOC-08,3,RAI2-P-SOC,8,Unhealthy / Dangerous Human-EAI Relationships,인간-EAI의 해로운 관계,Embodied AI의 물리적 존재감과 인간 유사 외형이 대화형 AI에서 관찰되는 의존성을 증폭시킴. 시스템 변경·기억 초기화 시 사용자에게 심각한 심리적 고통을 유발할 수 있음,"Physical presence and humanlike appearance amplify dependency, attachment, manipulation, and psychological distress.",active,v1.0.0
RAI3-P-SOC-09,3,RAI2-P-SOC,9,Transformative Effects,변혁적 영향,기술 발전 속도가 사회·제도의 적응 속도를 앞지를 경우 사회를 근본적으로 재편할 수 있음. EAI가 폭력 위협·대규모 감시 능력을 바탕으로 AI 기반 권위주의 체제 구축을 지원하는 수단으로 동원될 수 있음,Embodied AI outpaces institutional adaptation and can support fundamental social transformation or authoritarian control.,active,v1.0.0
