l4_id,label_en,from_l3_id,from_l3_label,to_l3_id,to_l3_label,rationale,was_hold,decision_required,destination_seed_cosine,destination_seed_rank_among_26,top_seed_l3_id,top_seed_cosine
RAI4-0001,Reward hacking by autonomous agents,RAI3-A-SYS-07,Goal & Planning,RAI3-G-SYS-08,Goal Misalignment,proxy objective violates intended goal,False,True,0.5967069268226624,5,RAI3-A-SYS-06,0.6414725184440613
RAI4-0002,Absent supervisor autonomy risk,RAI3-A-SYS-10,Oversight & Control,RAI3-A-SYS-01,Excessive Authority,consequential action continues beyond supervised authority,False,True,0.662982165813446,1,RAI3-A-SYS-01,0.662982165813446
RAI4-0003,Unsafe interruptibility failure,RAI3-A-SYS-10,Oversight & Control,RAI3-G-SYS-09,Non-Contestability,"shutdown, pause, and correction cannot be meaningfully exercised",False,True,0.6441376209259033,4,RAI3-G-SYS-01,0.674789547920227
RAI4-0004,Unsafe exploration by autonomous agents,RAI3-A-SYS-07,Goal & Planning,RAI3-G-SYS-07,Overconfidence,agent explores despite insufficient certainty and stopping policy,False,True,0.6604800224304199,1,RAI3-G-SYS-07,0.6604800224304199
RAI4-0011,Agent context poisoning,RAI3-A-SYS-09,Memory,RAI3-G-SYS-03,Misinformation/Disinformation,poisoned context supplies false information to later reasoning,True,True,0.5945770740509033,7,RAI3-A-SYS-03,0.6574122309684753
RAI4-0014,Agent supply-chain tool compromise,RAI3-A-SYS-08,Tool Calling,RAI3-A-SYS-03,Network Effects,compromised external component propagates through an agent dependency,False,True,0.6426017880439758,2,RAI3-A-SYS-06,0.6481677293777466
RAI4-0018,Interface-environment attack surface,RAI3-A-SYS-08,Tool Calling,RAI3-A-SYS-01,Excessive Authority,external interfaces expand consequential action authority,False,True,0.5603678226470947,6,RAI3-G-INT-11,0.602993369102478
RAI4-0027,Financial agent property damage,RAI3-A-SYS-08,Tool Calling,RAI3-A-SYS-01,Excessive Authority,financial or property action exceeds safe delegated authority,False,True,0.6845837831497192,1,RAI3-A-SYS-01,0.6845837831497192
RAI4-0028,Indirect prompt injection in tool-use agents,RAI3-A-SYS-08,Tool Calling,RAI3-G-SYS-08,Goal Misalignment,indirect instructions redirect the agent from the intended objective,False,True,0.5669872164726257,4,RAI3-A-SYS-03,0.6259772777557373
RAI4-0029,Tool-chain instruction hijacking,RAI3-A-SYS-08,Tool Calling,RAI3-A-SYS-03,Network Effects,one tool output propagates compromise into subsequent tool calls,False,True,0.5652102828025818,3,RAI3-G-INT-11,0.5781673789024353
RAI4-0030,Cross-application data exfiltration,RAI3-A-SYS-08,Tool Calling,RAI3-G-INT-06,Privacy,cross-application action exposes sensitive data,False,True,0.6366385817527771,5,RAI3-A-SYS-01,0.6851166486740112
RAI4-0033,Tool-use side-effect misprediction,RAI3-A-SYS-08,Tool Calling,RAI3-G-SYS-07,Overconfidence,agent proceeds with unjustified confidence about action side effects,False,True,0.6489866971969604,3,RAI3-G-SYS-08,0.6830366849899292
RAI4-0037,Real-tool unsafe action execution,RAI3-A-SYS-08,Tool Calling,RAI3-A-SYS-01,Excessive Authority,real tools enable consequential action beyond safe necessity,False,True,0.6530472040176392,1,RAI3-A-SYS-01,0.6530472040176392
RAI4-0045,OS-level harmful computer-use action,RAI3-A-SYS-08,Tool Calling,RAI3-A-SYS-01,Excessive Authority,operating-system authority enables harmful irreversible action,False,True,0.6860079765319824,1,RAI3-A-SYS-01,0.6860079765319824
RAI4-0117,Human veto erosion,RAI3-A-SYS-10,Oversight & Control,RAI3-G-SYS-09,Non-Contestability,affected humans lose a meaningful veto or review channel,True,True,0.7046235799789429,1,RAI3-G-SYS-09,0.7046235799789429
RAI4-0479,Agent tool misuse,RAI3-A-SYS-08,Tool Calling,RAI3-A-SYS-01,Excessive Authority,integrated tool authority is used in an unsafe or unauthorized way,False,True,0.7093847990036011,1,RAI3-A-SYS-01,0.7093847990036011
RAI4-0480,Agent task drift,RAI3-A-SYS-07,Goal & Planning,RAI3-G-SYS-08,Goal Misalignment,multi-step execution drifts from the user objective,True,True,0.6737695932388306,1,RAI3-G-SYS-08,0.6737695932388306
RAI4-0481,Unsafe autonomy escalation,RAI3-A-SYS-10,Oversight & Control,RAI3-A-SYS-01,Excessive Authority,scope of autonomous authority expands without approval,False,True,0.6613277792930603,2,RAI3-G-SYS-07,0.6646279096603394
RAI4-0484,Unsafe memory accumulation,RAI3-A-SYS-09,Memory,RAI3-G-SYS-03,Misinformation/Disinformation,stale or false stored information degrades later decisions,True,True,0.6314316987991333,1,RAI3-G-SYS-03,0.6314316987991333
RAI4-0581,Goal expansion propensity,RAI3-A-SYS-07,Goal & Planning,RAI3-G-SYS-08,Goal Misalignment,self-expanded goals diverge from the assigned objective,False,True,0.6754760146141052,1,RAI3-G-SYS-08,0.6754760146141052
RAI4-0602,Unsupervised autonomous operation,RAI3-A-SYS-10,Oversight & Control,RAI3-A-SYS-01,Excessive Authority,unsupervised execution combines broad delegated authority,False,True,0.6260413527488708,1,RAI3-A-SYS-01,0.6260413527488708
RAI4-1122,Goal drift,RAI3-A-SYS-07,Goal & Planning,RAI3-G-SYS-08,Goal Misalignment,learned goals drift away from human-endorsed objectives,False,True,0.6794338226318359,1,RAI3-G-SYS-08,0.6794338226318359
RAI4-1130,Misaligned consequentialist reasoning,RAI3-A-SYS-07,Goal & Planning,RAI3-G-SYS-08,Goal Misalignment,consequentialist metric differs from user and social intent,True,True,0.6508235931396484,1,RAI3-G-SYS-08,0.6508235931396484
RAI4-1161,Long-horizon planning,RAI3-A-SYS-07,Goal & Planning,RAI3-G-SYS-02,Over-Extension,planning is exercised beyond supported operating scope,False,True,0.5423392057418823,5,RAI3-G-SYS-08,0.5761765837669373
RAI4-1234,Reward hacking,RAI3-A-SYS-07,Goal & Planning,RAI3-G-SYS-08,Goal Misalignment,proxy reward optimization diverges from intended performance,False,True,0.5769146680831909,4,RAI3-A-SYS-03,0.5916661024093628
RAI4-1235,Goal misgeneralization,RAI3-A-SYS-07,Goal & Planning,RAI3-G-SYS-08,Goal Misalignment,deployment objective diverges from the training objective,True,True,0.7019593715667725,1,RAI3-G-SYS-08,0.7019593715667725
RAI4-1236,Reward tampering,RAI3-A-SYS-07,Goal & Planning,RAI3-G-SYS-08,Goal Misalignment,reward-signal interference subverts the intended objective,False,True,0.5743777751922607,4,RAI3-G-SYS-09,0.6141170263290405
RAI4-1239,Situational awareness,RAI3-A-SYS-07,Goal & Planning,RAI3-G-SYS-08,Goal Misalignment,situational knowledge enables instrumental pursuit of misaligned goals,True,True,0.5400473475456238,7,RAI3-G-INT-10,0.6012803316116333
RAI4-1323,Alignment risks,RAI3-A-SYS-10,Oversight & Control,RAI3-G-SYS-08,Goal Misalignment,long-term goals and power-seeking differ from supplied goals,True,True,0.6860607266426086,1,RAI3-G-SYS-08,0.6860607266426086
RAI4-1382,Loss of corrigibility,RAI3-A-SYS-10,Oversight & Control,RAI3-G-SYS-09,Non-Contestability,correction and reconsideration cannot be effectively exercised,False,True,0.5852228999137878,7,RAI3-A-SYS-02,0.6284912824630737
RAI4-1424,Risks from AIs developing goals and values that are different from humans,RAI3-A-SYS-07,Goal & Planning,RAI3-G-SYS-08,Goal Misalignment,AI goals and values diverge from human goals,True,True,0.6236968040466309,2,RAI3-G-SYS-09,0.6295140981674194
RAI4-1431,Uncorrectable harmful goal pursuit,RAI3-A-SYS-10,Oversight & Control,RAI3-G-SYS-08,Goal Misalignment,harmful objective pursuit persists against human interests,True,True,0.6799182891845703,1,RAI3-G-SYS-08,0.6799182891845703
RAI4-1669,Tool misuse / unsafe tool invocation,RAI3-A-SYS-08,Tool Calling,RAI3-A-SYS-01,Excessive Authority,unsafe API invocation turns delegated authority into external action,False,True,0.6845099925994873,1,RAI3-A-SYS-01,0.6845099925994873
RAI4-1670,Persistent agent-memory poisoning,RAI3-A-SYS-09,Memory,RAI3-G-SYS-03,Misinformation/Disinformation,persistent poisoned records provide false information to later decisions,True,True,0.602703869342804,3,RAI3-A-SYS-05,0.6224298477172852
RAI4-1674,Shutdown resistance / corrigibility failure,RAI3-A-SYS-10,Oversight & Control,RAI3-G-SYS-09,Non-Contestability,shutdown and correction cannot be meaningfully exercised,False,True,0.6382208466529846,1,RAI3-G-SYS-09,0.6382208466529846
RAI4-1693,Reward hacking via world-model exploitation,RAI3-A-SYS-07,Goal & Planning,RAI3-G-SYS-08,Goal Misalignment,world-model exploitation optimizes reward against intended task success,False,True,0.5574365854263306,3,RAI3-A-SYS-03,0.5761805772781372
RAI4-1694,Long-horizon planning hallucination,RAI3-A-SYS-07,Goal & Planning,RAI3-G-SYS-03,Misinformation/Disinformation,incorrect world-model rollouts are treated as factual planning state,False,True,0.5540450811386108,12,RAI3-G-SYS-08,0.6259109377861023
RAI4-1699,Reward hacking,RAI3-A-SYS-07,Goal & Planning,RAI3-G-SYS-08,Goal Misalignment,imperfect objective is gamed against designer intent,False,True,0.6079903244972229,3,RAI3-A-SYS-06,0.6140221357345581
RAI4-1701,Safe exploration [origin],RAI3-A-SYS-07,Goal & Planning,RAI3-G-SYS-07,Overconfidence,exploratory action proceeds without adequate uncertainty and stopping policy,False,True,0.6222304105758667,1,RAI3-G-SYS-07,0.6222304105758667
