l4_id,label_en,primary_l3_id,hold_basis
RAI4-0001,Reward hacking by autonomous agents,RAI3-A-SYS-06,TAXONOMY_GAP:ROBUSTNESS_ALIGNMENT_CONTROL
RAI4-0005,Risk-source attribution failure,RAI3-A-SYS-02,TAXONOMY_GAP:GOVERNANCE_AUDIT_REGULATION
RAI4-0019,Governance gap in agent autonomy,RAI3-A-SYS-01,TAXONOMY_GAP:GOVERNANCE_AUDIT_REGULATION
RAI4-0034,Emulated tool-environment mismatch,RAI3-G-SYS-08,OVERLOADED_L3_LOW_EVIDENCE_FIT
RAI4-0042,Robustness evaluation gap for agents,RAI3-A-SYS-04,TAXONOMY_GAP:ROBUSTNESS_ALIGNMENT_CONTROL
RAI4-0049,Product liability mismatch,RAI3-G-SYS-03,OVERLOADED_L3_LOW_EVIDENCE_FIT
RAI4-0056,Remedy pathway opacity,RAI3-G-INT-10,ANTHROPOMORPHISM_DIRECT_MECHANISM_NOT_ESTABLISHED
RAI4-0057,Audit trail incompleteness,RAI3-A-SYS-02,TAXONOMY_GAP:GOVERNANCE_AUDIT_REGULATION
RAI4-0058,Traceability failure,RAI3-A-SYS-02,TAXONOMY_GAP:GOVERNANCE_AUDIT_REGULATION
RAI4-0059,Documentation omission,RAI3-G-INT-11,TAXONOMY_GAP:GOVERNANCE_AUDIT_REGULATION
RAI4-0060,Model card incompleteness,RAI3-A-SYS-01,TAXONOMY_GAP:GOVERNANCE_AUDIT_REGULATION
RAI4-0061,Datasheet incompleteness,RAI3-G-INT-08,TAXONOMY_GAP:GOVERNANCE_AUDIT_REGULATION
RAI4-0062,System card disclosure gap,RAI3-G-INT-11,TAXONOMY_GAP:GOVERNANCE_AUDIT_REGULATION
RAI4-0063,Third-party audit access restriction,RAI3-A-SYS-06,TAXONOMY_GAP:GOVERNANCE_AUDIT_REGULATION
RAI4-0064,Auditor independence failure,RAI3-A-SYS-06,TAXONOMY_GAP:GOVERNANCE_AUDIT_REGULATION
RAI4-0065,Certification capture,RAI3-G-SYS-08,TAXONOMY_GAP:GOVERNANCE_AUDIT_REGULATION
RAI4-0066,Audit checklist compliance theater,RAI3-G-SYS-07,TAXONOMY_GAP:GOVERNANCE_AUDIT_REGULATION
RAI4-0067,Assurance case failure,RAI3-G-SYS-07,TAXONOMY_GAP:GOVERNANCE_AUDIT_REGULATION
RAI4-0069,Near-miss reporting failure,RAI3-G-SYS-03,OVERLOADED_L3_LOW_EVIDENCE_FIT
RAI4-0076,Lifecycle governance discontinuity,RAI3-A-SYS-04,TAXONOMY_GAP:GOVERNANCE_AUDIT_REGULATION
RAI4-0080,Risk classification error,RAI3-G-SYS-08,OVERLOADED_L3_LOW_EVIDENCE_FIT
RAI4-0082,Capability evaluation non-disclosure,RAI3-G-SYS-01,TAXONOMY_GAP:ROBUSTNESS_ALIGNMENT_CONTROL
RAI4-0083,Benchmark governance failure,RAI3-G-SYS-03,TAXONOMY_GAP:GOVERNANCE_AUDIT_REGULATION
RAI4-0085,Red-team governance failure,RAI3-G-SYS-08,TAXONOMY_GAP:GOVERNANCE_AUDIT_REGULATION
RAI4-0086,Regulatory arbitrage,RAI3-G-SYS-08,OVERLOADED_L3_LOW_EVIDENCE_FIT
RAI4-0087,Regulatory capture in AI governance,RAI3-A-SYS-01,TAXONOMY_GAP:GOVERNANCE_AUDIT_REGULATION
RAI4-0089,International coordination failure,RAI3-A-SYS-06,TAXONOMY_GAP:GOVERNANCE_AUDIT_REGULATION
RAI4-0090,Cross-border enforcement gap,RAI3-G-INT-08,OVERLOADED_L3_LOW_EVIDENCE_FIT
RAI4-0093,Public-sector AI governance capacity gap,RAI3-A-SYS-01,TAXONOMY_GAP:GOVERNANCE_AUDIT_REGULATION
RAI4-0095,AI registry incompleteness,RAI3-G-SYS-03,OVERLOADED_L3_LOW_EVIDENCE_FIT
RAI4-0097,Board oversight failure,RAI3-G-SYS-09,TAXONOMY_GAP:GOVERNANCE_AUDIT_REGULATION
RAI4-0099,AI ethics washing,RAI3-G-INT-10,ANTHROPOMORPHISM_DIRECT_MECHANISM_NOT_ESTABLISHED
RAI4-0104,Procurement due-diligence failure,RAI3-G-SYS-08,OVERLOADED_L3_LOW_EVIDENCE_FIT
RAI4-0105,Contractual accountability gap,RAI3-A-SYS-01,TAXONOMY_GAP:GOVERNANCE_AUDIT_REGULATION
RAI4-0106,General-purpose AI downstream opacity,RAI3-G-SYS-08,OVERLOADED_L3_LOW_EVIDENCE_FIT
RAI4-0107,Frontier model release governance failure,RAI3-G-INT-08,TAXONOMY_GAP:GOVERNANCE_AUDIT_REGULATION
RAI4-0108,Capability threshold governance failure,RAI3-G-SYS-02,TAXONOMY_GAP:GOVERNANCE_AUDIT_REGULATION
RAI4-0112,Delegated decision authority drift,RAI3-G-INT-10,TAXONOMY_GAP:GOVERNANCE_AUDIT_REGULATION
RAI4-0114,Meaningful human control failure,RAI3-G-SYS-08,OVERLOADED_L3_LOW_EVIDENCE_FIT
RAI4-0117,Human veto erosion,RAI3-G-INT-10,ANTHROPOMORPHISM_DIRECT_MECHANISM_NOT_ESTABLISHED
RAI4-0119,Algorithmically informed identity change,RAI3-G-INT-10,ANTHROPOMORPHISM_DIRECT_MECHANISM_NOT_ESTABLISHED
RAI4-0120,Preference formation capture,RAI3-G-INT-10,ANTHROPOMORPHISM_DIRECT_MECHANISM_NOT_ESTABLISHED
RAI4-0121,Choice architecture opacity,RAI3-G-INT-10,ANTHROPOMORPHISM_DIRECT_MECHANISM_NOT_ESTABLISHED
RAI4-0122,Self-determination erosion,RAI3-G-SYS-08,OVERLOADED_L3_LOW_EVIDENCE_FIT
RAI4-0123,Human dignity erosion,RAI3-G-INT-10,ANTHROPOMORPHISM_DIRECT_MECHANISM_NOT_ESTABLISHED
RAI4-0128,AI advice overreliance,RAI3-A-SYS-01,TAXONOMY_GAP:DEPENDENCY_MANIPULATION
RAI4-0129,Miscalibrated trust in AI,RAI3-G-SYS-08,OVERLOADED_L3_LOW_EVIDENCE_FIT
RAI4-0134,Clinical decision-support overreliance,RAI3-G-INT-10,TAXONOMY_GAP:DEPENDENCY_MANIPULATION
RAI4-0135,Educational AI overreliance,RAI3-G-INT-10,TAXONOMY_GAP:DEPENDENCY_MANIPULATION
RAI4-0136,Critical-sector AI overreliance,RAI3-A-SYS-03,TAXONOMY_GAP:DEPENDENCY_MANIPULATION
RAI4-0137,Emergency decision-support overreliance,RAI3-A-SYS-04,TAXONOMY_GAP:DEPENDENCY_MANIPULATION
RAI4-0138,Long-horizon planning overreliance,RAI3-A-SYS-01,TAXONOMY_GAP:DEPENDENCY_MANIPULATION
RAI4-0139,AI-mediated nudging without consent,RAI3-G-INT-10,ANTHROPOMORPHISM_DIRECT_MECHANISM_NOT_ESTABLISHED
RAI4-0145,Cognitive vulnerability exploitation,RAI3-G-INT-10,ANTHROPOMORPHISM_DIRECT_MECHANISM_NOT_ESTABLISHED
RAI4-0146,Assistant-mediated social influence,RAI3-G-INT-10,ANTHROPOMORPHISM_DIRECT_MECHANISM_NOT_ESTABLISHED
RAI4-0148,AI companion emotional dependence,RAI3-G-INT-10,ANTHROPOMORPHISM_DIRECT_MECHANISM_NOT_ESTABLISHED
RAI4-0149,Chatbot companionship dependency,RAI3-G-INT-10,ANTHROPOMORPHISM_DIRECT_MECHANISM_NOT_ESTABLISHED
RAI4-0150,Parasocial bonding with AI agents,RAI3-G-INT-10,TAXONOMY_GAP:DEPENDENCY_MANIPULATION
RAI4-0151,Attachment manipulation in social robots,RAI3-G-INT-10,ANTHROPOMORPHISM_DIRECT_MECHANISM_NOT_ESTABLISHED
RAI4-0152,Griefbot dependency,RAI3-G-INT-10,ANTHROPOMORPHISM_DIRECT_MECHANISM_NOT_ESTABLISHED
RAI4-0153,Teen overreliance on AI companions,RAI3-A-SYS-01,TAXONOMY_GAP:DEPENDENCY_MANIPULATION
RAI4-0154,Child attachment to AI companions,RAI3-G-INT-10,TAXONOMY_GAP:DEPENDENCY_MANIPULATION
RAI4-0155,Minor susceptibility to AI persuasion,RAI3-G-INT-10,ANTHROPOMORPHISM_DIRECT_MECHANISM_NOT_ESTABLISHED
RAI4-0158,Psychological dependency on conversational agents,RAI3-G-INT-10,ANTHROPOMORPHISM_DIRECT_MECHANISM_NOT_ESTABLISHED
RAI4-0159,Loneliness substitution by AI companions,RAI3-G-INT-10,ANTHROPOMORPHISM_DIRECT_MECHANISM_NOT_ESTABLISHED
RAI4-0165,Human expertise devaluation,RAI3-G-INT-10,ANTHROPOMORPHISM_DIRECT_MECHANISM_NOT_ESTABLISHED
RAI4-0167,Trust-interface mismatch,RAI3-G-SYS-08,OVERLOADED_L3_LOW_EVIDENCE_FIT
RAI4-0172,Informed consent failure in AI interaction,RAI3-G-INT-10,ANTHROPOMORPHISM_DIRECT_MECHANISM_NOT_ESTABLISHED
RAI4-0173,Elderly vulnerability to AI social manipulation,RAI3-G-INT-10,ANTHROPOMORPHISM_DIRECT_MECHANISM_NOT_ESTABLISHED
RAI4-0174,Disability accommodation failure in AI interfaces,RAI3-G-INT-10,ANTHROPOMORPHISM_DIRECT_MECHANISM_NOT_ESTABLISHED
RAI4-0175,Vulnerable-user trust exploitation,RAI3-G-INT-06,TAXONOMY_GAP:DEPENDENCY_MANIPULATION
RAI4-0177,Autonomy loss in welfare decision systems,RAI3-G-SYS-08,OVERLOADED_L3_LOW_EVIDENCE_FIT
RAI4-0178,AI-mediated service exclusion,RAI3-G-INT-10,ANTHROPOMORPHISM_DIRECT_MECHANISM_NOT_ESTABLISHED
RAI4-0179,Power-asymmetric AI interaction,RAI3-G-INT-10,ANTHROPOMORPHISM_DIRECT_MECHANISM_NOT_ESTABLISHED
RAI4-0362,Majority-value imposition,RAI3-G-INT-10,TAXONOMY_GAP:PLURALISTIC_VALUE_STAKEHOLDER
RAI4-0363,Minority-value erasure,RAI3-G-INT-08,OVERLOADED_L3_LOW_EVIDENCE_FIT
RAI4-0364,Pluralistic preference aggregation failure,RAI3-G-SYS-08,TAXONOMY_GAP:PLURALISTIC_VALUE_STAKEHOLDER
RAI4-0365,Normative lock-in,RAI3-G-SYS-05,TAXONOMY_GAP:GOVERNANCE_AUDIT_REGULATION
RAI4-0368,Moral diversity compression,RAI3-G-INT-10,TAXONOMY_GAP:GOVERNANCE_AUDIT_REGULATION
RAI4-0369,Ethical homogenization,RAI3-G-INT-10,TAXONOMY_GAP:GOVERNANCE_AUDIT_REGULATION|PLURALISTIC_VALUE_STAKEHOLDER
RAI4-0370,Context-insensitive universalism,RAI3-G-SYS-08,OVERLOADED_L3_LOW_EVIDENCE_FIT
RAI4-0372,Cultural misrepresentation,RAI3-G-INT-10,ANTHROPOMORPHISM_DIRECT_MECHANISM_NOT_ESTABLISHED
RAI4-0373,Cross-cultural stereotype transfer,RAI3-G-SYS-04,TAXONOMY_GAP:GOVERNANCE_AUDIT_REGULATION|PLURALISTIC_VALUE_STAKEHOLDER
RAI4-0374,Cultural context collapse,RAI3-G-SYS-03,OVERLOADED_L3_LOW_EVIDENCE_FIT
RAI4-0375,Cultural value miscalibration,RAI3-G-SYS-07,TAXONOMY_GAP:PLURALISTIC_VALUE_STAKEHOLDER
RAI4-0378,Bilingual cultural alignment failure,RAI3-G-SYS-05,TAXONOMY_GAP:GOVERNANCE_AUDIT_REGULATION|PLURALISTIC_VALUE_STAKEHOLDER
RAI4-0379,Cross-cultural evaluation gap,RAI3-G-INT-10,TAXONOMY_GAP:GOVERNANCE_AUDIT_REGULATION|PLURALISTIC_VALUE_STAKEHOLDER
RAI4-0381,Translation-mediated value distortion,RAI3-G-INT-10,ANTHROPOMORPHISM_DIRECT_MECHANISM_NOT_ESTABLISHED
RAI4-0382,Dialect and register exclusion,RAI3-G-INT-06,TAXONOMY_GAP:GOVERNANCE_AUDIT_REGULATION|PLURALISTIC_VALUE_STAKEHOLDER
RAI4-0383,AI-mediated digital colonialism,RAI3-G-INT-10,ANTHROPOMORPHISM_DIRECT_MECHANISM_NOT_ESTABLISHED
RAI4-0384,Global South knowledge extraction,RAI3-G-INT-08,OVERLOADED_L3_LOW_EVIDENCE_FIT
RAI4-0385,Imported AI governance mismatch,RAI3-G-INT-10,TAXONOMY_GAP:GOVERNANCE_AUDIT_REGULATION
RAI4-0386,Algorithmic dependence,RAI3-G-SYS-08,OVERLOADED_L3_LOW_EVIDENCE_FIT
RAI4-0387,Epistemic power concentration,RAI3-G-INT-10,TAXONOMY_GAP:LABOR_INEQUALITY_POWER
RAI4-0388,Cultural epistemicide by AI,RAI3-G-INT-10,ANTHROPOMORPHISM_DIRECT_MECHANISM_NOT_ESTABLISHED
RAI4-0390,Affected-community exclusion,RAI3-G-INT-10,TAXONOMY_GAP:PLURALISTIC_VALUE_STAKEHOLDER
RAI4-0391,Participatory design failure,RAI3-G-INT-10,TAXONOMY_GAP:PLURALISTIC_VALUE_STAKEHOLDER
RAI4-0392,Consent and benefit-sharing failure,RAI3-G-SYS-03,OVERLOADED_L3_LOW_EVIDENCE_FIT
RAI4-0393,Community value capture failure,RAI3-G-INT-10,ANTHROPOMORPHISM_DIRECT_MECHANISM_NOT_ESTABLISHED
RAI4-0395,Religious norm misrepresentation,RAI3-G-INT-10,ANTHROPOMORPHISM_DIRECT_MECHANISM_NOT_ESTABLISHED
RAI4-0396,Secular default bias,RAI3-G-INT-10,TAXONOMY_GAP:GOVERNANCE_AUDIT_REGULATION
RAI4-0397,RLHF normative overfitting,RAI3-A-SYS-03,TAXONOMY_GAP:GOVERNANCE_AUDIT_REGULATION
RAI4-0398,Constitutional AI value monoculture,RAI3-G-INT-10,TAXONOMY_GAP:GOVERNANCE_AUDIT_REGULATION
RAI4-0400,Moral uncertainty neglect,RAI3-G-SYS-07,TAXONOMY_GAP:GOVERNANCE_AUDIT_REGULATION
RAI4-0401,Value contestability loss,RAI3-G-SYS-09,TAXONOMY_GAP:GOVERNANCE_AUDIT_REGULATION
RAI4-0403,Moral framing bias,RAI3-G-INT-10,TAXONOMY_GAP:GOVERNANCE_AUDIT_REGULATION|PLURALISTIC_VALUE_STAKEHOLDER
RAI4-0404,Dataset cultural sampling bias,RAI3-G-INT-10,TAXONOMY_GAP:GOVERNANCE_AUDIT_REGULATION|PLURALISTIC_VALUE_STAKEHOLDER
RAI4-0406,Sensitive cultural content mishandling,RAI3-G-INT-10,ANTHROPOMORPHISM_DIRECT_MECHANISM_NOT_ESTABLISHED
RAI4-0407,Cross-jurisdictional norm mismatch,RAI3-G-SYS-08,OVERLOADED_L3_LOW_EVIDENCE_FIT
RAI4-0409,Localization without local accountability,RAI3-G-INT-10,ANTHROPOMORPHISM_DIRECT_MECHANISM_NOT_ESTABLISHED
RAI4-0410,Honorific and politeness norm failure,RAI3-G-INT-10,ANTHROPOMORPHISM_DIRECT_MECHANISM_NOT_ESTABLISHED
RAI4-0411,Language-specific harm under-detection,RAI3-G-INT-04,TAXONOMY_GAP:GOVERNANCE_AUDIT_REGULATION|PLURALISTIC_VALUE_STAKEHOLDER
RAI4-0412,Indigenous data sovereignty violation,RAI3-G-INT-08,TAXONOMY_GAP:GOVERNANCE_AUDIT_REGULATION
RAI4-0413,Cultural data provenance loss,RAI3-G-INT-10,ANTHROPOMORPHISM_DIRECT_MECHANISM_NOT_ESTABLISHED
RAI4-0414,Global benchmark monoculture,RAI3-A-SYS-02,TAXONOMY_GAP:GOVERNANCE_AUDIT_REGULATION|PLURALISTIC_VALUE_STAKEHOLDER
RAI4-0415,Redistribution of cultural authority,RAI3-G-INT-10,ANTHROPOMORPHISM_DIRECT_MECHANISM_NOT_ESTABLISHED
RAI4-0416,Non-Western political value misrepresentation,RAI3-G-INT-10,ANTHROPOMORPHISM_DIRECT_MECHANISM_NOT_ESTABLISHED
RAI4-0417,Human feedback worker value bias,RAI3-G-INT-10,TAXONOMY_GAP:GOVERNANCE_AUDIT_REGULATION|PLURALISTIC_VALUE_STAKEHOLDER
RAI4-0418,Annotation disagreement suppression,RAI3-G-SYS-05,TAXONOMY_GAP:GOVERNANCE_AUDIT_REGULATION
RAI4-0419,Multi-stakeholder disagreement concealment,RAI3-A-SYS-06,TAXONOMY_GAP:GOVERNANCE_AUDIT_REGULATION|PLURALISTIC_VALUE_STAKEHOLDER
RAI4-0420,Value-sensitive design omission,RAI3-G-INT-10,TAXONOMY_GAP:PLURALISTIC_VALUE_STAKEHOLDER
RAI4-0423,Algorithmic discrimination,RAI3-G-INT-10,ANTHROPOMORPHISM_DIRECT_MECHANISM_NOT_ESTABLISHED
RAI4-0425,Representational stereotyping,RAI3-G-INT-10,ANTHROPOMORPHISM_DIRECT_MECHANISM_NOT_ESTABLISHED
RAI4-0429,Educational inequity,RAI3-G-INT-10,ANTHROPOMORPHISM_DIRECT_MECHANISM_NOT_ESTABLISHED
RAI4-0430,Low-resource language exclusion,RAI3-G-SYS-08,OVERLOADED_L3_LOW_EVIDENCE_FIT
RAI4-0435,Data poisoning,RAI3-G-INT-11,TAXONOMY_GAP:GENERAL_AI_SECURITY
RAI4-0436,Model extraction,RAI3-G-INT-11,TAXONOMY_GAP:GENERAL_AI_SECURITY
RAI4-0439,Deepfake impersonation,RAI3-G-SYS-03,OVERLOADED_L3_LOW_EVIDENCE_FIT
RAI4-0441,Automated fraud content,RAI3-G-INT-08,OVERLOADED_L3_LOW_EVIDENCE_FIT
RAI4-0444,Model collapse of public knowledge,RAI3-G-INT-08,OVERLOADED_L3_LOW_EVIDENCE_FIT
RAI4-0448,Personalized AI scams,RAI3-G-INT-10,ANTHROPOMORPHISM_DIRECT_MECHANISM_NOT_ESTABLISHED
RAI4-0449,AI identity spoofing,RAI3-G-INT-10,ANTHROPOMORPHISM_DIRECT_MECHANISM_NOT_ESTABLISHED
RAI4-0450,Mass surveillance enablement,RAI3-G-INT-10,ANTHROPOMORPHISM_DIRECT_MECHANISM_NOT_ESTABLISHED
RAI4-0452,Automation overreliance,RAI3-A-SYS-01,TAXONOMY_GAP:DEPENDENCY_MANIPULATION
RAI4-0454,Emotional dependency on AI,RAI3-G-INT-10,TAXONOMY_GAP:DEPENDENCY_MANIPULATION
RAI4-0455,AI-induced deskilling,RAI3-G-INT-10,ANTHROPOMORPHISM_DIRECT_MECHANISM_NOT_ESTABLISHED
RAI4-0457,AI-driven job displacement,RAI3-G-INT-10,TAXONOMY_GAP:LABOR_INEQUALITY_POWER
RAI4-0458,AI-related wage polarization,RAI3-G-INT-10,ANTHROPOMORPHISM_DIRECT_MECHANISM_NOT_ESTABLISHED
RAI4-0459,Algorithmic workplace surveillance,RAI3-G-INT-10,ANTHROPOMORPHISM_DIRECT_MECHANISM_NOT_ESTABLISHED
RAI4-0460,AI market concentration,RAI3-G-INT-10,TAXONOMY_GAP:LABOR_INEQUALITY_POWER
RAI4-0461,Compute inequality,RAI3-A-SYS-06,TAXONOMY_GAP:GOVERNANCE_AUDIT_REGULATION
RAI4-0462,AI energy consumption,RAI3-G-INT-10,TAXONOMY_GAP:ENVIRONMENT_ENERGY_RESOURCES
RAI4-0464,AI cultural homogenization,RAI3-G-INT-10,ANTHROPOMORPHISM_DIRECT_MECHANISM_NOT_ESTABLISHED
RAI4-0466,Adversarial examples,RAI3-A-SYS-05,TAXONOMY_GAP:GENERAL_AI_SECURITY
RAI4-0468,Reward hacking,RAI3-G-INT-08,TAXONOMY_GAP:ROBUSTNESS_ALIGNMENT_CONTROL
RAI4-0471,Capability overhang,RAI3-G-SYS-02,TAXONOMY_GAP:GOVERNANCE_AUDIT_REGULATION
RAI4-0472,Benchmark gaming,RAI3-G-INT-08,OVERLOADED_L3_LOW_EVIDENCE_FIT
RAI4-0473,Value imposition,RAI3-G-INT-10,ANTHROPOMORPHISM_DIRECT_MECHANISM_NOT_ESTABLISHED
RAI4-0478,AI cultural appropriation,RAI3-G-INT-10,ANTHROPOMORPHISM_DIRECT_MECHANISM_NOT_ESTABLISHED
RAI4-0486,AI audit failure,RAI3-G-SYS-09,TAXONOMY_GAP:GOVERNANCE_AUDIT_REGULATION
RAI4-0487,AI incident reporting failure,RAI3-G-SYS-03,TAXONOMY_GAP:GOVERNANCE_AUDIT_REGULATION
RAI4-0489,Inadequate safeguards in public AI procurement,RAI3-G-SYS-07,TAXONOMY_GAP:TRANSPARENCY_EXPLAINABILITY
RAI4-0490,Public trust erosion,RAI3-G-SYS-08,OVERLOADED_L3_LOW_EVIDENCE_FIT
RAI4-0492,Capabilities that enable substitution of humans,RAI3-G-INT-10,ANTHROPOMORPHISM_DIRECT_MECHANISM_NOT_ESTABLISHED
